identifier,birth_place,native_language,other_languages,age,sex,age_of_english_onset,english_learning_method,english_residence,length_of_english_residence,mp3_name
slovak6,"trencin, slovakia",slovak,german,36.0,female,22.0,naturalistic,"uk, usa",14 years,slovak6.mp3
slovenian1,"slovenj gradec, slovenia",slovenian,german italian croatian,25.0,female,6.0,academic,usa,1.5 years,slovenian1.mp3
slovenian2,"ljubljana, slovenia",slovenian,german spanish serbian croatian,20.0,male,4.0,academic,usa,7 years,slovenian2.mp3
somali1,"mogadishu, somalia",somali,arabic,26.0,female,24.0,academic,usa,4 years,somali1.mp3
somali2,"erigavo, somalia",somali,arabic,59.0,male,8.0,academic,usa,22 years,somali2.mp3
somali3,"borama, somalia",somali,arabic,50.0,female,10.0,academic,usa,5 years,somali3.mp3
somali4,"mogadishu, somalia",somali,dutch french,25.0,female,7.0,academic,"uk, usa",14.5 years,somali4.mp3
somali5,"mogadishu, somalia",somali,arabic,39.0,male,18.0,academic,"uk, usa",11.5 years,somali5.mp3
somali6,"hargeysa, somalia",somali,arabic german french,32.0,male,17.0,academic,"uk, usa",7.8 years,somali6.mp3
somali7,"abu dhabi, united arab emirates",somali,arabic urdu,37.0,female,3.0,academic,usa,6 years,somali7.mp3
somali8,"mogadishu, somalia",somali,none,34.0,female,16.0,academic,usa,18 years,somali8.mp3
spanish1,"caracas, venezuela",spanish,none,24.0,male,17.0,academic,usa,0.3 years,spanish1.mp3
spanish2,"puerto la cruz, venezuela",spanish,german,20.0,male,12.0,academic,usa,0.5 years,spanish2.mp3
spanish3,"bogota, colombia",spanish,none,17.0,female,16.0,academic,usa,0.1 years,spanish3.mp3
spanish4,"cabanas, el salvador",spanish,none,21.0,female,17.0,academic,usa,4 years,spanish4.mp3
spanish5,"bogota, colombia",spanish,french german,52.0,female,13.0,naturalistic,usa,17 years,spanish5.mp3
spanish6,"lima, peru",spanish,none,20.0,male,19.0,academic,usa,1 years,spanish6.mp3
spanish7,"bogota, colombia",spanish,arabic french german swedish esperanto,21.0,female,20.0,academic,usa,0.4 years,spanish7.mp3
spanish8,"san salvador, el salvador",spanish,none,21.0,male,12.0,academic,usa,0.5 years,spanish8.mp3
spanish9,"araure, venezuela",spanish,none,20.0,male,17.0,academic,"usa,trinidad",0.4 years,spanish9.mp3
spanish10,"san luis de la reina, el salvador",spanish,none,48.0,male,47.0,academic,usa,10 years,spanish10.mp3
spanish11,"lima, peru",spanish,none,49.0,female,28.0,academic,usa,9 years,spanish11.mp3
spanish12,"oviedo, spain",spanish,french,25.0,male,8.0,academic,usa,5 years,spanish12.mp3
spanish13,"duitama, colombia",spanish,none,29.0,female,11.0,academic,usa,1.2 years,spanish13.mp3
spanish14,"pereira, colombia",spanish,none,34.0,female,15.0,academic,usa,1 years,spanish14.mp3
spanish15,"san juan, puerto rico",spanish,portuguese,54.0,male,4.0,academic,usa,21 years,spanish15.mp3
spanish16,"buenos aires, argentina",spanish,french german,44.0,male,25.0,naturalistic,usa,19 years,spanish16.mp3
spanish17,"puebla, mexico",spanish,none,22.0,female,9.0,academic,usa,10 years,spanish17.mp3
spanish18,"la paz, bolivia",spanish,none,22.0,male,17.0,academic,usa,2 years,spanish18.mp3
spanish19,"havana, cuba",spanish,none,25.0,female,17.0,academic,usa,5 years,spanish19.mp3
spanish20,"managua, nicaragua",spanish,none,45.0,male,30.0,academic,usa,18 years,spanish20.mp3
spanish21,"santiago, chile",spanish,none,25.0,male,18.0,naturalistic,,0 years,spanish21.mp3
spanish22,"madrid, spain",spanish,german,32.0,female,11.0,academic,usa,0.8 years,spanish22.mp3
spanish23,"santiago, chile",spanish,swedish italian,22.0,male,7.0,academic,usa,0.1 years,spanish23.mp3
spanish24,"mexico city, mexico",spanish,french,27.0,male,5.0,academic,usa,1.8 years,spanish24.mp3
spanish25,"san jose, costa rica",spanish,italian french,26.0,male,21.0,academic,usa,5 years,spanish25.mp3
spanish26,"burgos, spain",spanish,french german swedish esperanto,18.0,male,6.0,academic,,0 years,spanish26.mp3
spanish27,"zaragoza, spain",spanish,none,34.0,male,14.0,academic,ireland,0.1 years,spanish27.mp3
spanish28,"san miguel, el salvador",spanish,none,20.0,female,18.0,academic,usa,2 years,spanish28.mp3
spanish29,"maracaibo, zulia, venezuela",spanish,french,18.0,male,10.0,academic,canada,0.5 years,spanish29.mp3
spanish30,"buenos aires, argentina",spanish,french portuguese italian,18.0,male,5.0,academic,,0 years,spanish30.mp3
spanish31,"guayaquil, ecuador",spanish,none,31.0,female,7.0,academic,usa,7 years,spanish31.mp3
spanish32,"santa cruz, bolivia",spanish,portuguese,26.0,male,22.0,academic,usa,4 years,spanish32.mp3
spanish33,"caracas, venezuela",spanish,none,18.0,male,15.0,academic,usa,3 years,spanish33.mp3
spanish34,"cartagena, spain",spanish,german,28.0,male,11.0,academic,uk,0.75 years,spanish34.mp3
spanish35,"mexico city, mexico",spanish,italian,28.0,male,17.0,academic,usa,4.25 years,spanish35.mp3
spanish36,"montevideo, uruguay",spanish,none,27.0,male,25.0,academic,,0 years,spanish36.mp3
spanish37,"tegucigalpa, honduras",spanish,russian,50.0,female,17.0,academic,usa,13 years,spanish37.mp3
spanish38,"tegucigalpa, honduras",spanish,portuguese,53.0,male,13.0,academic,usa,15 years,spanish38.mp3
spanish39,"pamplona, spain",spanish,none,20.0,male,3.0,academic,,0 years,spanish39.mp3
spanish40,"cartago, costa rica",spanish,italian,20.0,male,6.0,academic,,0 years,spanish40.mp3
spanish41,"bonao, dominican republic",spanish,none,25.0,male,6.0,naturalistic,usa,23 years,spanish41.mp3
spanish42,"bogota, colombia",spanish,none,80.0,female,18.0,academic,usa,20 years,spanish42.mp3
spanish43,"santiago-dr, dominican republic",spanish,none,43.0,male,16.0,academic,usa,22 years,spanish43.mp3
spanish44,"la romana, dominican republic",spanish,none,37.0,female,4.0,academic,usa,11.5 years,spanish44.mp3
spanish45,"santiago-dr, dominican republic",spanish,none,47.0,female,12.0,academic,usa,2 years,spanish45.mp3
spanish46,"santo domingo, dominican republic",spanish,french,33.0,male,14.0,academic,usa,10 years,spanish46.mp3
spanish47,"santo domingo, dominican republic",spanish,french,25.0,female,12.0,academic,usa,2.5 years,spanish47.mp3
spanish48,"bilbao, spain",spanish,none,21.0,male,6.0,academic,,0 years,spanish48.mp3
spanish49,"tandil, argentina",spanish,japanese,31.0,male,6.0,academic,,0 years,spanish49.mp3
spanish50,"santo domingo, dominican republic",spanish,none,27.0,male,15.0,academic,usa,0.25 years,spanish50.mp3
spanish51,"caguas, puerto rico",spanish,none,20.0,male,6.0,academic,usa,20 years,spanish51.mp3
spanish52,"popayan, cauca, colombia",spanish,french italian,29.0,female,21.0,academic,usa,3 years,spanish52.mp3
spanish53,"bogota, colombia",spanish,portuguese,33.0,male,6.0,academic,usa,1.2 years,spanish53.mp3
spanish54,"vina del mar, chile",spanish,none,25.0,male,18.0,academic,usa,1 years,spanish54.mp3
spanish55,"tandil, argentina",spanish,none,36.0,male,9.0,academic,usa,3.2 years,spanish55.mp3
spanish56,"monterrey, mexico",spanish,german french chinese,22.0,male,8.0,academic,,0 years,spanish56.mp3
spanish57,"montevideo, uruguay",spanish,italian,33.0,male,11.0,academic,"ireland, usa",6 years,spanish57.mp3
spanish58,"bogota, colombia",spanish,none,31.0,male,18.0,academic,usa,2 years,spanish58.mp3
spanish59,"mayaguez, puerto rico",spanish,none,31.0,female,5.0,naturalistic,usa,26 years,spanish59.mp3
spanish60,"santiago-dr, dominican republic",spanish,french,18.0,female,9.0,naturalistic,usa,10 years,spanish60.mp3
spanish61,"azuaga, spain",spanish,french,67.0,male,39.0,naturalistic,usa,30 years,spanish61.mp3
spanish62,"buenos aires, argentina",spanish,italian french portuguese,63.0,female,19.0,academic,usa,41 years,spanish62.mp3
spanish63,"la coruna, spain",spanish,catalan italian german,32.0,female,10.0,academic,"uk, usa",4 years,spanish63.mp3
spanish64,"medellin, colombia",spanish,none,28.0,male,12.0,academic,,0 years,spanish64.mp3
spanish65,"barranquilla, colombia",spanish,none,32.0,male,12.0,naturalistic,usa,20 years,spanish65.mp3
spanish66,"san salvador, el salvador",spanish,none,30.0,male,12.0,naturalistic,canada,18 years,spanish66.mp3
spanish67,"santa marta, colombia",spanish,french,48.0,female,14.0,academic,usa,4 years,spanish67.mp3
spanish68,"san fernando, chile",spanish,german,27.0,male,14.0,academic,australia,0.8 years,spanish68.mp3
spanish69,"caracas, venezuela",spanish,french,20.0,female,7.0,naturalistic,usa,10 years,spanish69.mp3
spanish70,"bogota, colombia",spanish,french,30.0,female,10.0,academic,usa,1.5 years,spanish70.mp3
spanish71,"rosario, argentina",spanish,swedish italian,24.0,male,6.0,academic,,0 years,spanish71.mp3
spanish72,"miami, florida, usa",spanish,none,20.0,female,5.0,naturalistic,usa,20 years,spanish72.mp3
spanish73,"merida, venezuela",spanish,none,19.0,male,15.0,academic,uk,0.1 years,spanish73.mp3
spanish74,"zaragoza, spain",spanish,none,44.0,male,14.0,academic,,0 years,spanish74.mp3
spanish75,"lima, peru",spanish,french dutch,28.0,female,5.0,academic,usa,8 years,spanish75.mp3
spanish76,"la paz, bolivia",spanish,french italian,27.0,male,10.0,academic,uk,4 years,spanish76.mp3
spanish77,"jalisco, mexico",spanish,none,45.0,male,13.0,academic,usa,2 years,spanish77.mp3
spanish78,"lima, peru",spanish,french,55.0,female,5.0,academic,usa,16 years,spanish78.mp3
spanish79,"lamas, peru",spanish,none,70.0,female,22.0,academic,usa,41 years,spanish79.mp3
spanish80,"bogota, colombia",spanish,none,77.0,female,75.0,naturalistic,usa,12 years,spanish80.mp3
spanish81,"san juan, puerto rico",spanish,none,63.0,female,7.0,academic,usa,2.5 years,spanish81.mp3
spanish82,"la paz, bolivia",spanish,none,49.0,male,14.0,academic,usa,12 years,spanish82.mp3
spanish83,"la paz, bolivia",spanish,italian,48.0,male,14.0,academic,usa,1.4 years,spanish83.mp3
spanish84,"buenos aires, argentina",spanish,none,19.0,female,4.0,academic,usa,0.2 years,spanish84.mp3
spanish85,"buenos aires, argentina",spanish,french,44.0,female,6.0,academic,,0 years,spanish85.mp3
spanish86,"buenos aires, argentina",spanish,french,23.0,male,4.0,academic,,0 years,spanish86.mp3
spanish87,"la paz, bolivia",spanish,none,55.0,male,9.0,academic,"usa, ireland",2.2 years,spanish87.mp3
spanish88,"la paz, bolivia",spanish,none,53.0,male,25.0,naturalistic,usa,29 years,spanish88.mp3
spanish89,"monterrey, mexico",spanish,none,22.0,male,13.0,academic,usa,9 years,spanish89.mp3
spanish90,"caracas, venezuela",spanish,italian,23.0,female,3.0,naturalistic,usa,2 years,spanish90.mp3
spanish91,"caracas, venezuela",spanish,french,20.0,female,7.0,naturalistic,usa,10 years,spanish91.mp3
spanish92,"cardenas, cuba",spanish,none,54.0,male,9.0,naturalistic,usa,45 years,spanish92.mp3
spanish93,"santa rosa, honduras",spanish,none,29.0,female,18.0,naturalistic,usa,11 years,spanish93.mp3
spanish94,"bogota, colombia",spanish,none,19.0,male,6.0,academic,usa,11 years,spanish94.mp3
spanish95,"juarez, mexico",spanish,none,31.0,female,21.0,naturalistic,usa,10 years,spanish95.mp3
spanish96,"arequipa, peru",spanish,portuguese french italian quechua,29.0,female,12.0,academic,usa,4.25 years,spanish96.mp3
spanish97,"bogota, colombia",spanish,german,52.0,female,19.0,academic,usa,17.5 years,spanish97.mp3
spanish98,"veracruz, mexico",spanish,none,34.0,male,29.0,naturalistic,usa,5 years,spanish98.mp3
spanish99,"lima, peru",spanish,none,20.0,female,4.0,academic,usa,1.5 years,spanish99.mp3
spanish100,"iquitos, peru",spanish,arabic,30.0,female,26.0,academic,usa,8 years,spanish100.mp3
spanish101,"la union, el salvador",spanish,none,39.0,female,19.0,naturalistic,usa,24 years,spanish101.mp3
spanish102,"cochabamba, bolivia",spanish,quechua,31.0,male,26.0,academic,usa,9 years,spanish102.mp3
spanish103,"san miguel, el salvador",spanish,none,46.0,male,15.0,naturalistic,usa,25 years,spanish103.mp3
spanish104,"san miguel, el salvador",spanish,none,28.0,female,20.0,naturalistic,usa,8 years,spanish104.mp3
spanish105,"jerez de la frontera, spain",spanish,latin greek arabic german,41.0,female,10.0,academic,usa,12 years,spanish105.mp3
spanish106,"lima, peru",spanish,none,21.0,male,5.0,academic,usa,10 years,spanish106.mp3
spanish107,"san salvador, el salvador",spanish,italian,36.0,male,14.0,naturalistic,usa,22 years,spanish107.mp3
spanish108,"medellin, colombia",spanish,none,36.0,male,24.0,academic,usa,12 years,spanish108.mp3
spanish109,"maracay, venezuela",spanish,french portuguese,21.0,male,16.0,academic,,0 years,spanish109.mp3
spanish110,"caracas, venezuela",spanish,german japanese,20.0,male,18.0,academic,,0 years,spanish110.mp3
spanish111,"santiago, chile",spanish,none,55.0,male,33.0,naturalistic,usa,23.7 years,spanish111.mp3
spanish112,"la paz, bolivia",spanish,none,25.0,male,15.0,academic,usa,15 years,spanish112.mp3
spanish113,"cochabamba, bolivia",spanish,none,19.0,male,8.0,academic,usa,11 years,spanish113.mp3
spanish114,"seville, spain",spanish,catalan,22.0,female,8.0,naturalistic,uk,0.25 years,spanish114.mp3
spanish115,"la paz, bolivia",spanish,french,58.0,female,8.0,academic,usa,15 years,spanish115.mp3
spanish116,"bogota, colombia",spanish,french,37.0,male,6.0,academic,usa,3 years,spanish116.mp3
spanish117,"madrid, spain",spanish,french german italian portuguese turkish,46.0,male,12.0,academic,usa,13 years,spanish117.mp3
spanish118,"monterrey, mexico",spanish,italian,48.0,female,13.0,academic,usa,22 years,spanish118.mp3
spanish119,"madrid, spain",spanish,french,40.0,female,11.0,naturalistic,usa,15 years,spanish119.mp3
spanish120,"bogota, colombia",spanish,french german,25.0,female,2.0,academic,usa,16 years,spanish120.mp3
spanish121,"pasaquina, el salvador",spanish,none,34.0,male,21.0,academic,usa,10 years,spanish121.mp3
spanish122,"toluca, mexico",spanish,none,26.0,female,10.0,academic,usa,16 years,spanish122.mp3
spanish123,"ilbague, colombia",spanish,french,57.0,female,14.0,academic,usa,17 years,spanish123.mp3
spanish124,"santa cruz, bolivia",spanish,none,22.0,male,5.0,naturalistic,usa,14 years,spanish124.mp3
spanish125,"lima, peru",spanish,none,23.0,male,9.0,naturalistic,usa,14 years,spanish125.mp3
spanish126,"colon, panama",spanish,french,54.0,female,5.0,naturalistic,usa,35 years,spanish126.mp3
spanish127,"san salvador, el salvador",spanish,italian,34.0,male,19.0,academic,usa,7 years,spanish127.mp3
spanish128,"lima, peru",spanish,none,30.0,female,7.0,academic,usa,17 years,spanish128.mp3
spanish129,"havana, cuba",spanish,none,47.0,female,30.0,naturalistic,usa,17 years,spanish129.mp3
spanish130,"guayaquil, ecuador",spanish,french,27.0,male,21.0,naturalistic,usa,1 years,spanish130.mp3
spanish131,"havana, cuba",spanish,none,56.0,male,25.0,naturalistic,usa,31 years,spanish131.mp3
spanish132,"rio piedras, puerto rico",spanish,italian,50.0,female,15.0,academic,usa,30 years,spanish132.mp3
spanish133,"cochabamba, bolivia",spanish,portuguese japanese,38.0,male,19.0,academic,usa,13 years,spanish133.mp3
spanish134,"la union, el salvador",spanish,none,41.0,female,13.0,academic,usa,28.7 years,spanish134.mp3
spanish135,"santiago de cuba, cuba",spanish,none,41.0,female,22.0,naturalistic,usa,18 years,spanish135.mp3
spanish136,"santiago, chile",spanish,french italian,49.0,male,8.0,academic,usa,41 years,spanish136.mp3
spanish137,"santa ana, el salvador",spanish,none,24.0,female,21.0,academic,usa,4 years,spanish137.mp3
spanish138,"san miguel, el salvador",spanish,none,24.0,female,16.0,academic,usa,8 years,spanish138.mp3
spanish139,"guatemala city, guatemala",spanish,none,50.0,male,38.0,academic,usa,11 years,spanish139.mp3
spanish140,"cochabamba, bolivia",spanish,quechua,37.0,female,31.0,academic,usa,6 years,spanish140.mp3
spanish141,"la union, el salvador",spanish,none,24.0,male,12.0,academic,usa,12 years,spanish141.mp3
spanish142,"san salvador, el salvador",spanish,none,59.0,female,8.0,academic,usa,33 years,spanish142.mp3
spanish143,"oviedo, spain",spanish,none,45.0,male,6.0,academic,"uk, usa",12.5 years,spanish143.mp3
spanish144,"florencia, zacatecas, mexico",spanish,none,33.0,female,23.0,naturalistic,usa,10 years,spanish144.mp3
spanish145,"florencia, zacatecas, mexico",spanish,none,37.0,female,21.0,naturalistic,usa,16 years,spanish145.mp3
spanish146,"las palmas, oaxaca, mexico",spanish,none,25.0,male,18.0,naturalistic,usa,7 years,spanish146.mp3
spanish147,"puerto_cabezas, nicaragua",spanish,miskito,26.0,male,15.0,academic,,0 years,spanish147.mp3
spanish148,"la ceiba, honduras",spanish,none,19.0,male,11.0,academic,,0 years,spanish148.mp3
spanish149,"bilwi, puerto cabezas, nicaragua",spanish,miskito,23.0,male,22.0,naturalistic,,0 years,spanish149.mp3
spanish150,"bilwi, puerto cabezas, nicaragua",spanish,none,18.0,male,13.0,academic,,0 years,spanish150.mp3
spanish151,"bilwas karma, rio coco, nicaragua",spanish,miskito,58.0,female,50.0,naturalistic,,0 years,spanish151.mp3
spanish152,"barcelona, spain",spanish,catalan,51.0,male,25.0,naturalistic,usa,26 years,spanish152.mp3
spanish153,"bogota, colombia",spanish,portuguese,21.0,male,10.0,naturalistic,usa,6 years,spanish153.mp3
spanish154,"montevideo, uruguay",spanish,portuguese,30.0,male,4.0,academic,usa,1.5 years,spanish154.mp3
spanish155,"lima, peru",spanish,none,27.0,male,9.0,naturalistic,usa,15 years,spanish155.mp3
spanish156,"montevideo, uruguay",spanish,none,65.0,female,8.0,academic,usa,54 years,spanish156.mp3
spanish157,"mexico city, mexico",spanish,none,19.0,female,3.0,naturalistic,usa,16 years,spanish157.mp3
spanish158,"santurce, puerto rico",spanish,none,54.0,female,37.0,academic,usa,16 years,spanish158.mp3
spanish159,"san salvador, el salvador",spanish,none,29.0,male,21.0,naturalistic,usa,11 years,spanish159.mp3
spanish160,"bogota, colombia",spanish,none,20.0,male,7.0,academic,usa,9 years,spanish160.mp3
spanish161,"leon, nicaragua",spanish,none,56.0,female,32.0,academic,usa,19 years,spanish161.mp3
spanish162,"mexico city, mexico",spanish,none,28.0,male,5.0,naturalistic,"usa, uk",5 years,spanish162.mp3
spanish163,"asuncion, paraguay",spanish,none,25.0,male,15.0,academic,usa,5 years,spanish163.mp3
spanish164,"zacatecas, mexico",spanish,none,35.0,female,27.0,naturalistic,usa,19 years,spanish164.mp3
spanish165,"mayaguez, puerto rico",spanish,german italian,62.0,male,4.0,academic,usa,11 years,spanish165.mp3
spanish166,"santo domingo, dominican republic",spanish,none,26.0,female,11.0,academic,usa,5 years,spanish166.mp3
spanish167,"lima, peru",spanish,japanese,29.0,female,15.0,academic,usa,15 years,spanish167.mp3
spanish168,"pasto, colombia",spanish,none,28.0,male,4.0,academic,usa,0.4 years,spanish168.mp3
spanish169,"ponce, puerto rico",spanish,none,36.0,female,10.0,academic,usa,16 years,spanish169.mp3
spanish170,"cochabamba, bolivia",spanish,portuguese,25.0,male,2.0,naturalistic,usa,23 years,spanish170.mp3
spanish171,"guayaquil, ecuador",spanish,none,23.0,female,8.0,academic,usa,10 years,spanish171.mp3
spanish172,"la union, el salvador",spanish,none,28.0,male,11.0,academic,usa,17 years,spanish172.mp3
spanish173,"ambato, ecuador",spanish,none,31.0,female,24.0,academic,usa,1 years,spanish173.mp3
spanish174,"falcon, venezuela",spanish,none,26.0,female,7.0,academic,usa,5 years,spanish174.mp3
spanish175,"rio piedras, puerto rico",spanish,portuguese,20.0,female,12.0,academic,usa,2 years,spanish175.mp3
spanish176,"panama city, panama",spanish,none,55.0,male,6.0,academic,usa,26 years,spanish176.mp3
spanish177,"sonsonate, el salvador",spanish,none,48.0,female,17.0,naturalistic,usa,26 years,spanish177.mp3
spanish178,"chalatenango, el salvador",spanish,none,41.0,female,30.0,naturalistic,usa,11 years,spanish178.mp3
spanish179,"san miguel, el salvador",spanish,none,55.0,female,38.0,naturalistic,usa,17 years,spanish179.mp3
spanish180,"cochabamba, bolivia",spanish,none,50.0,male,35.0,naturalistic,usa,16 years,spanish180.mp3
spanish181,"lima, peru",spanish,none,55.0,female,30.0,naturalistic,usa,24 years,spanish181.mp3
spanish182,"trujillo, peru",spanish,none,44.0,male,20.0,academic,usa,20 years,spanish182.mp3
spanish183,"bogota, colombia",spanish,portuguese italian,27.0,female,16.0,academic,usa,11 years,spanish183.mp3
spanish184,"lima, peru",spanish,none,26.0,male,13.0,academic,usa,11 years,spanish184.mp3
spanish185,"san salvador, el salvadore",spanish,none,30.0,female,12.0,academic,usa,18 years,spanish185.mp3
spanish186,"tegucigalpa, honduras",spanish,none,33.0,male,14.0,academic,usa,19 years,spanish186.mp3
spanish187,"santurce, puerto rico",spanish,portuguese,32.0,female,6.0,academic,usa,8 years,spanish187.mp3
spanish188,"panama city, panama",spanish,none,54.0,female,28.0,naturalistic,usa,26 years,spanish188.mp3
spanish189,"santa clara, san vicente, el salvador",spanish,none,42.0,male,18.0,academic,usa,27 years,spanish189.mp3
spanish190,"bogota, colombia",spanish,french,41.0,male,6.0,academic,usa,7 years,spanish190.mp3
spanish191,"bogota, colombia",spanish,none,38.0,female,12.0,academic,usa,2 years,spanish191.mp3
spanish192,"cordoba, argentina",spanish,french german,40.0,male,10.0,academic,uk,1 years,spanish192.mp3
spanish193,"david, panama",spanish,none,75.0,female,5.0,academic,usa,54 years,spanish193.mp3
spanish194,"cochabamba, bolivia",spanish,none,27.0,male,18.0,naturalistic,usa,9 years,spanish194.mp3
spanish195,"guatemala city, guatemala",spanish,none,55.0,female,15.0,academic,usa,27 years,spanish195.mp3
spanish196,"san cristobal, dominican republic",spanish,none,60.0,female,26.0,naturalistic,usa,31 years,spanish196.mp3
spanish197,"madrid, spain",spanish,french,20.0,female,3.0,academic,usa,0.3 years,spanish197.mp3
spanish198,"tejupilco, mexico",spanish,none,38.0,female,19.0,academic,usa,23 years,spanish198.mp3
spanish199,"san juan, puerto rico",spanish,portuguese french,18.0,male,2.0,academic,usa,0.3 years,spanish199.mp3
spanish200,"bogota, colombia",spanish,none,30.0,female,17.0,academic,usa,12 years,spanish200.mp3
spanish201,"mexico city, mexico",spanish,none,25.0,male,18.0,naturalistic,usa,5.7 years,spanish201.mp3
spanish202,"mexico city, mexico",spanish,none,48.0,female,17.0,naturalistic,usa,31 years,spanish202.mp3
spanish203,"usulutan, el salvador",spanish,none,32.0,female,11.0,academic,usa,23 years,spanish203.mp3
spanish204,"almeria, spain",spanish,french,21.0,male,8.0,academic,usa,0.8 years,spanish204.mp3
spanish205,"cerete, colombia",spanish,french,29.0,male,7.0,academic,canada,0.3 years,spanish205.mp3
spanish206,"santiago, chile",spanish,none,21.0,female,4.0,academic,"usa, uk",0.4 years,spanish206.mp3
spanish207,"ica, peru",spanish,none,39.0,female,12.0,academic,usa,0.3 years,spanish207.mp3
spanish208,"santo domingo, dominican republic",spanish,none,49.0,male,13.0,academic,usa,30 years,spanish208.mp3
spanish209,"lima, peru",spanish,asl,35.0,female,12.0,naturalistic,usa,16 years,spanish209.mp3
spanish210,"cordoba, argentina",spanish,none,20.0,female,8.0,naturalistic,"puerto rico, usa",18 years,spanish210.mp3
spanish211,"la paz, bolivia",spanish,none,19.0,female,16.0,academic,usa,3 years,spanish211.mp3
spanish212,"la union, el salvador",spanish,none,21.0,female,10.0,academic,usa,11 years,spanish212.mp3
spanish213,"loja, ecuador",spanish,none,22.0,male,13.0,naturalistic,usa,9 years,spanish213.mp3
spanish214,"neiva, colombia",spanish,none,45.0,female,26.0,naturalistic,usa,20 years,spanish214.mp3
spanish215,"cochabamba, bolivia",spanish,none,24.0,female,13.0,academic,usa,10 years,spanish215.mp3
spanish216,"caracas, venezuela",spanish,none,43.0,female,42.0,academic,usa,5 years,spanish216.mp3
spanish217,"bogota, colombia",spanish,french,19.0,female,7.0,academic,usa,4.5 years,spanish217.mp3
spanish218,"danli, honduras",spanish,none,19.0,female,8.0,academic,usa,5.3 years,spanish218.mp3
spanish219,"santa ana, el salvador",spanish,none,44.0,female,25.0,naturalistic,usa,26 years,spanish219.mp3
spanish220,"guadalajara, jalisco, mexico",spanish,none,63.0,male,31.0,naturalistic,usa,32 years,spanish220.mp3
spanish221,"bogota, colombia",spanish,none,32.0,female,6.0,academic,usa,24.5 years,spanish221.mp3
spanish222,"villalba, puerto rico",spanish,none,45.0,female,2.0,naturalistic,usa,43 years,spanish222.mp3
spanish223,"santa rosa, texas, usa",spanish,none,66.0,female,5.0,academic,usa,66 years,spanish223.mp3
spanish224,"la serena, chile",spanish,none,65.0,female,15.0,naturalistic,usa,42 years,spanish224.mp3
spanish225,"durango, mexico",spanish,german,18.0,male,10.0,academic,usa,0.5 years,spanish225.mp3
spanish226,"los mochis, sinaloa, mexico",spanish,none,19.0,male,9.0,academic,,0 years,spanish226.mp3
spanish227,"durango, durango, mexico",spanish,none,49.0,female,13.0,academic,,0 years,spanish227.mp3
spanish228,"piura, peru",spanish,indonesian french mandarin,23.0,female,15.0,academic,,0 years,spanish228.mp3
spanish229,"tijuana, mexico",spanish,none,21.0,male,12.0,naturalistic,,0 years,spanish229.mp3
spanish230,"cali, colombia",spanish,none,31.0,female,9.0,academic,usa,16 years,spanish230.mp3
spanish231,"santa ana, el salvador",spanish,none,38.0,male,21.0,naturalistic,usa,12 years,spanish231.mp3
spanish232,"trujillo, peru",spanish,quechua,39.0,male,7.0,academic,usa,5 years,spanish232.mp3
spanish233,"buenos aires, argentina",spanish,korean,19.0,female,5.0,academic,usa,6 years,spanish233.mp3
spanish234,"maracaibo, venezuela",spanish,none,51.0,male,13.0,academic,usa,34 years,spanish234.mp3
spanish235,"san salvador, el salvador",spanish,none,29.0,female,14.0,academic,usa,13 years,spanish235.mp3
spanish236,"guatemala city, guatemala",spanish,none,57.0,female,9.0,academic,usa,28 years,spanish236.mp3
spanish237,"san juan, puerto rico",spanish,none,55.0,male,5.0,academic,usa,27 years,spanish237.mp3
spanish238,"chalatenango, el salvador",spanish,none,25.0,female,14.0,academic,usa,12 years,spanish238.mp3
spanish239,"cochabamba, bolivia",spanish,french,50.0,female,6.0,academic,usa,25 years,spanish239.mp3
spanish240,"mexico city, mexico",spanish,none,21.0,male,6.0,academic,usa,10.8 years,spanish240.mp3
spanish241,"la union, el salvador",spanish,none,40.0,female,15.0,academic,usa,25 years,spanish241.mp3
spanish242,"new york, new york, usa",spanish,none,21.0,female,4.0,academic,usa,1 years,spanish242.mp3
spanish243,"monterrey, mexico",spanish,german french italian,23.0,male,7.0,academic,,0 years,spanish243.mp3
sundanese1,"kuningan, indonesia",sundanese,bahasa indonesia,37.0,female,15.0,academic,usa,12 years,sundanese1.mp3
sundanese2,"bandung, jawa barat, indonesia",sundanese,indonesian,20.0,male,16.0,naturalistic,,0 years,sundanese2.mp3
susu1,"conakry, guinea",susu,french,24.0,male,18.0,academic,usa,1 years,susu1.mp3
swedish1,"solna, sweden",swedish,german,56.0,female,11.0,academic,usa,20 years,swedish1.mp3
swedish2,"uppsala, sweden",swedish,german,20.0,male,10.0,academic,,0 years,swedish2.mp3
swedish3,"stockholm, sweden",swedish,german,24.0,male,10.0,academic,,0 years,swedish3.mp3
swedish4,"lulea, sweden",swedish,german,22.0,male,10.0,academic,,0 years,swedish4.mp3
swedish5,"goteborg, sweden",swedish,none,18.0,male,13.0,academic,,0 years,swedish5.mp3
swedish6,"goteborg, sweden",swedish,german,26.0,male,7.0,academic,,0 years,swedish6.mp3
swedish7,"sollentuna, sweden",swedish,mandarin,21.0,female,11.0,academic,"uk, canada",1 years,swedish7.mp3
swedish8,"helsinki, finland",swedish,finnish french,22.0,female,10.0,academic,usa,0.1 years,swedish8.mp3
swedish9,"uddevalla, sweden",swedish,spanish,20.0,male,10.0,academic,,0 years,swedish9.mp3
